epoch#, log10(loss), log10(val_loss)
0, -2.6743303849236573, -2.8226615653932527
1, -2.8120702193225853, -2.834582721008089
2, -2.825811270083942, -2.842723478896349
3, -2.8343237845895217, -2.8496227698454133
4, -2.842377972051041, -2.8556961292915544
5, -2.849545245565783, -2.8581339264606225
6, -2.8578429982739912, -2.870268396390187
7, -2.8661641634607347, -2.874541710836999
8, -2.8739885411532855, -2.8792587086957595
9, -2.88124175657155, -2.8874303140695567
10, -2.8887913937242895, -2.8902928884594306
11, -2.896308753769874, -2.8962411443687652
12, -2.9020065250076166, -2.897728351205855
13, -2.908740740434989, -2.9074806161151194
14, -2.9140694327986925, -2.909557391492395
15, -2.9206859532203984, -2.9085840334775943
16, -2.925799946529848, -2.914669475240735
17, -2.9307501472939803, -2.915084738941783
18, -2.93544104172528, -2.917026302649736
19, -2.940486789888511, -2.926977888212977
20, -2.945171159040351, -2.93020204698123
21, -2.948736641149742, -2.924721173543564
22, -2.953045064661001, -2.930177852254598
23, -2.955966691766288, -2.9350537907978667
24, -2.9609327898404287, -2.939230406785891
25, -2.964444048425492, -2.9403705117969663
26, -2.9673015389289166, -2.9361983345896663
27, -2.9709033674642487, -2.9445015507118186
28, -2.9736163189503078, -2.946854989408029
29, -2.9775007242394116, -2.9475966610382174
30, -2.981253532019539, -2.9508847200418313
31, -2.983751462959733, -2.952860735446026
32, -2.9861757303017615, -2.9467043473627754
33, -2.988998420654135, -2.9577598184466116
34, -2.9926721608343083, -2.957459502014021
35, -2.9951816318926996, -2.962562449143883
36, -2.9969052718774507, -2.964579163578239
37, -3.0002830982834534, -2.9567970093795672
38, -3.0026035947755743, -2.9651882158086287
39, -3.0048562286265326, -2.9682221540505216
40, -3.0076450947407496, -2.963836131226273
41, -3.0100653895804292, -2.9693232369265528
42, -3.0122031411869328, -2.97303401557571
43, -3.0147369307966376, -2.9709679124850856
44, -3.016863246792148, -2.9799260240192735
45, -3.018388066320727, -2.9770662476537657
46, -3.021566673461739, -2.9747401486572462
47, -3.02257558405228, -2.9732070512556596
48, -3.025493417846507, -2.9773019290495513
49, -3.026625045539959, -2.9791536386251356
50, -3.0281971865580664, -2.9861932145572063
51, -3.0304582812930647, -2.984163920352491
52, -3.03289369844782, -2.98847119785371
53, -3.034097625242739, -2.9790495146363165
54, -3.035651682354194, -2.988159412026813
55, -3.0376510382346757, -2.989839645963577
56, -3.0388026727346555, -2.986265950737439
57, -3.0392408512060856, -2.993036209721628
58, -3.0424635494328336, -2.9942069627514707
59, -3.042877898427582, -2.994406463235332
60, -3.045525720919308, -2.9958929240085768
61, -3.0462487271710876, -2.9953099526450147
62, -3.047375178095696, -3.0031961405198184
63, -3.049152509417003, -2.997905594647559
64, -3.0506189853046557, -3.0016836526360087
65, -3.0521169077208934, -2.99902478986085
66, -3.052511873950216, -3.0016567026122103
67, -3.0551615209493055, -3.003683986301283
68, -3.0548970754279074, -3.0021672608548635
69, -3.057011310417756, -2.9994666111906456
70, -3.058997912450789, -3.0052558168647887
71, -3.0601154613646964, -3.0067587368343496
72, -3.060778074902576, -3.006591979159775
73, -3.0620725410025904, -3.006639104302345
74, -3.0631999406175403, -3.010718553214038
75, -3.065032592357355, -3.0020723046087006
76, -3.0659911988863624, -3.0153233881576083
77, -3.0666659103030285, -3.0154248751299075
78, -3.0671801719635647, -3.006860886993694
79, -3.069237755910332, -3.0144879848337838
80, -3.0700323793732798, -3.0154588752950366
81, -3.0712050221835536, -3.0078080363225017
82, -3.072710601794925, -3.0181412627932183
83, -3.073108693055572, -3.009042839650509
84, -3.074298321834446, -3.0170429087186537
85, -3.0752022903777663, -3.009887116414369
86, -3.075305673731285, -3.019865991868248
87, -3.076731588956549, -3.0077229552799265
88, -3.077154640819734, -3.0237588427095443
89, -3.0790930906230027, -3.023118390609378
90, -3.079190366498074, -3.020250291125935
91, -3.0804446787848696, -3.017451689719235
92, -3.0809025807674417, -3.0211019587369394
93, -3.082810300028384, -3.00755093970329
94, -3.082294405920596, -3.027450243779277
95, -3.083689602472763, -3.0128592438579016
96, -3.084610803048434, -3.023320290945417
97, -3.085150555163435, -3.0309073344199917
98, -3.085930678088628, -3.022968073026737
99, -3.0868499496345616, -3.030365690639021
100, -3.0874616539502457, -3.0302186977738215
101, -3.0882638779847444, -3.0284485045215397
102, -3.0898066283677323, -3.018070129479775
103, -3.0898217366437497, -3.0284103954291863
104, -3.0910899993306837, -3.02273631432436
105, -3.092747830807017, -3.0340358595336427
106, -3.0915012506098702, -3.0313009631711427
107, -3.092580013721179, -3.0324574338706367
108, -3.0929717922212503, -3.0312891993764515
109, -3.094631555564874, -3.026557722522587
110, -3.095410143748961, -3.0396813556699067
111, -3.095599598263222, -3.0306052739096616
112, -3.0967373377270833, -3.028819298046473
113, -3.097310569016059, -3.0262357913688
114, -3.0972565829656906, -3.029208334170346
115, -3.0991523860544063, -3.030646939906941
116, -3.098858617317319, -3.0336380790607222
117, -3.0994802368813392, -3.040188272485365
118, -3.101007789126537, -3.029289752887846
119, -3.101613999203623, -3.0404252360716484
120, -3.101760866937358, -3.041506901383257
121, -3.102366817900656, -3.0388193963768786
122, -3.10231511120564, -3.0387103034901366
123, -3.1038402592227055, -3.0389132818671643
124, -3.1039402851948554, -3.0368423484961347
125, -3.10395332398504, -3.041010557106068
126, -3.105641649492342, -3.036416011189345
127, -3.1052071638978727, -3.042094072966916
128, -3.106681079087835, -3.04507984045162
129, -3.1066654051023805, -3.047089086295259
130, -3.1077279913653375, -3.037114057359993
131, -3.1077213502199093, -3.042346347329438
132, -3.1086468732709704, -3.039481589443689
133, -3.1097409143784014, -3.0395336682333993
134, -3.109660206357222, -3.042391914424872
135, -3.1104460223043633, -3.0474082778129157
136, -3.1105258331292154, -3.048713326905957
137, -3.110874362250434, -3.041373801552646
138, -3.112531093676922, -3.046320579362135
139, -3.112028868956381, -3.046331069932839
140, -3.1121890555309943, -3.0466913343038056
141, -3.114146427270094, -3.0452470165342156
142, -3.114279276387649, -3.0477797935637727
143, -3.1148467429364524, -3.0484502621762775
